ID,Requisição de Timestamp,Timestamp de Resposta,Método,URL,Código,Motivo,RTT,Tamanho do Cabeçalho da Resposta,Tamanho do Corpo da Resposta
8,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,GET,http://localhost:8000/7470634514879441756,404,Not Found,4,99,0
10,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,GET,http://localhost:8000/api/8438381573001220417,404,Not Found,1,99,0
12,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,GET,http://localhost:8000/api/Pedidos/6195275972583726437,404,Not Found,1,99,0
14,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,GET,http://localhost:8000,404,Not Found,2,99,0
15,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,GET,http://localhost:8000/api,404,Not Found,3,99,0
16,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,GET,http://localhost:8000/api/Pedidos,404,Not Found,3,99,0
17,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=c%3A%2FWindows%2Fsystem.ini&status=AguardandoPagamento&motivoCancelamento=motivoCancelamento,400,Bad Request,17,158,270
18,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2FWindows%2Fsystem.ini&status=AguardandoPagamento&motivoCancelamento=motivoCancelamento,400,Bad Request,5,158,315
19,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=c%3A%5CWindows%5Csystem.ini&status=AguardandoPagamento&motivoCancelamento=motivoCancelamento,400,Bad Request,3,158,272
20,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5CWindows%5Csystem.ini&status=AguardandoPagamento&motivoCancelamento=motivoCancelamento,400,Bad Request,3,158,332
21,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=%2Fetc%2Fpasswd&status=AguardandoPagamento&motivoCancelamento=motivoCancelamento,400,Bad Request,3,158,260
22,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fpasswd&status=AguardandoPagamento&motivoCancelamento=motivoCancelamento,400,Bad Request,3,158,307
23,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=c%3A%2F&status=AguardandoPagamento&motivoCancelamento=motivoCancelamento,400,Bad Request,4,158,252
24,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=%2F&status=AguardandoPagamento&motivoCancelamento=motivoCancelamento,400,Bad Request,3,158,250
25,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=c%3A%5C&status=AguardandoPagamento&motivoCancelamento=motivoCancelamento,400,Bad Request,3,158,253
26,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F&status=AguardandoPagamento&motivoCancelamento=motivoCancelamento,400,Bad Request,2,158,297
27,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=WEB-INF%2Fweb.xml&status=AguardandoPagamento&motivoCancelamento=motivoCancelamento,400,Bad Request,3,158,264
28,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=WEB-INF%5Cweb.xml&status=AguardandoPagamento&motivoCancelamento=motivoCancelamento,400,Bad Request,3,158,265
29,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=%2FWEB-INF%2Fweb.xml&status=AguardandoPagamento&motivoCancelamento=motivoCancelamento,400,Bad Request,2,158,265
30,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=%5CWEB-INF%5Cweb.xml&status=AguardandoPagamento&motivoCancelamento=motivoCancelamento,400,Bad Request,2,158,267
31,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=thishouldnotexistandhopefullyitwillnot&status=AguardandoPagamento&motivoCancelamento=motivoCancelamento,400,Bad Request,3,158,287
32,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=altera-status-pedido&status=AguardandoPagamento&motivoCancelamento=motivoCancelamento,400,Bad Request,1,158,269
33,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=%2Faltera-status-pedido&status=AguardandoPagamento&motivoCancelamento=motivoCancelamento,400,Bad Request,3,158,270
34,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=%5Caltera-status-pedido&status=AguardandoPagamento&motivoCancelamento=motivoCancelamento,400,Bad Request,3,158,271
35,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=10&status=c%3A%2FWindows%2Fsystem.ini&motivoCancelamento=motivoCancelamento,400,Bad Request,3,158,264
36,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=10&status=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2FWindows%2Fsystem.ini&motivoCancelamento=motivoCancelamento,400,Bad Request,3,158,309
37,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=10&status=c%3A%5CWindows%5Csystem.ini&motivoCancelamento=motivoCancelamento,400,Bad Request,2,158,266
38,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=10&status=..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5CWindows%5Csystem.ini&motivoCancelamento=motivoCancelamento,400,Bad Request,2,158,326
39,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=10&status=%2Fetc%2Fpasswd&motivoCancelamento=motivoCancelamento,400,Bad Request,2,158,254
40,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=10&status=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fpasswd&motivoCancelamento=motivoCancelamento,400,Bad Request,2,158,301
41,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=10&status=c%3A%2F&motivoCancelamento=motivoCancelamento,400,Bad Request,2,158,246
42,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=10&status=%2F&motivoCancelamento=motivoCancelamento,400,Bad Request,3,158,244
43,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=10&status=c%3A%5C&motivoCancelamento=motivoCancelamento,400,Bad Request,2,158,247
44,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=10&status=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F&motivoCancelamento=motivoCancelamento,400,Bad Request,3,158,291
45,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=10&status=WEB-INF%2Fweb.xml&motivoCancelamento=motivoCancelamento,400,Bad Request,3,158,258
46,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=10&status=WEB-INF%5Cweb.xml&motivoCancelamento=motivoCancelamento,400,Bad Request,2,158,259
47,Sun Jun 23 13:56:19 BRT 2024,Sun Jun 23 13:56:19 BRT 2024,POST,http://localhost:8000/api/Pedidos/altera-status-pedido?numeroPedido=10&status=%2FWEB-INF%2Fweb.xml&motivoCancelamento=motivoCancelamento,400,Bad Request,3,158,259
